,Country,Population,Median_Age,GDP_Rate,Birth_Rate,Death_Rate,Education_Rate,Public_Debt,Health_Expend,Fertility_Rate,Health_Expend x Public_Debt
166,Solomon Islands,660121.0,22.8,3.5,24.5,3.8,9.9,9.4,5.1,3.09,15.758999999999999
167,Western Sahara,619551.0,21.5,0.0,28.9,7.9,0.0,0.0,0.0,3.79,0.0
168,Montenegro,614249.0,38.9,4.3,11.9,10.4,0.0,67.2,6.4,0.0,0.0
169,Macau,606340.0,39.8,9.1,8.4,4.6,3.1,0.0,0.0,0.95,0.0
170,Luxembourg,605764.0,39.3,2.3,11.6,7.3,3.9,23.0,6.6,1.62,10.692
171,Suriname,597927.0,30.2,1.9,15.6,6.1,0.0,69.3,5.7,1.9,10.83
172,Cabo Verde,568373.0,25.8,4.0,19.7,6.0,5.2,125.8,4.8,2.21,10.607999999999999
173,Brunei,450565.0,30.5,1.3,16.9,3.7,4.4,2.8,2.6,1.77,4.602
174,Malta,449043.0,41.8,6.7,10.0,7.9,5.3,50.7,9.7,1.48,14.355999999999998
175,Maldives,392473.0,28.6,4.8,16.1,4.0,4.3,63.9,13.7,1.72,23.564
176,Belize,385854.0,23.7,0.8,22.9,4.2,7.1,99.0,5.8,2.8,16.24
177,Iceland,343518.0,36.7,4.0,0.0,0.0,0.0,0.0,8.9,1.99,17.711000000000002
178,"Bahamas, The",332634.0,32.3,1.4,15.1,7.3,0.0,54.6,7.7,1.94,14.938
179,Barbados,293131.0,38.9,-0.2,11.6,8.6,4.7,157.3,7.5,1.68,12.6
180,French Polynesia,290373.0,32.4,2.0,14.5,5.3,0.0,0.0,0.0,1.87,0.0
181,Vanuatu,288037.0,22.3,4.2,23.5,4.0,4.7,48.4,5.0,2.97,14.850000000000001
182,New Caledonia,282754.0,32.3,2.0,14.8,5.7,0.0,6.5,0.0,1.92,0.0
183,Sao Tome and Principe,204454.0,18.7,3.9,31.5,6.7,4.9,88.4,8.4,4.11,34.524
184,Samoa,201316.0,24.8,2.5,20.2,5.4,4.1,49.1,7.2,2.64,19.008000000000003
185,Guam,167772.0,29.1,0.4,19.4,6.0,0.0,22.1,0.0,2.92,0.0
186,Saint Lucia,165510.0,35.5,3.0,13.1,7.8,5.7,70.7,6.7,1.74,11.658
187,Curacao,150241.0,36.3,3.6,13.7,8.5,4.9,33.2,0.0,2.03,0.0
188,Aruba,116576.0,39.5,1.2,12.3,8.5,6.1,86.0,0.0,1.83,0.0
189,Grenada,112207.0,32.1,5.1,15.2,8.2,10.3,70.4,6.1,2.0,12.2
190,Kiribati,109367.0,25.0,3.1,21.0,7.0,0.0,26.3,10.2,2.34,23.868
191,Virgin Islands,106977.0,41.3,0.9,12.5,8.1,0.0,53.3,0.0,2.06,0.0
192,Tonga,106398.0,23.3,2.5,21.8,4.9,0.0,48.0,5.2,3.03,15.756
193,"Micronesia, Federated States of",103643.0,25.5,2.0,19.6,4.2,12.5,24.5,13.7,2.37,32.469
194,Saint Vincent and the Grenadines,101844.0,34.2,0.7,13.0,7.4,5.8,73.8,8.6,1.78,15.308
195,Jersey,99602.0,37.7,1.0,12.5,7.8,0.0,0.0,0.0,1.66,0.0
196,Antigua and Barbuda,95882.0,32.2,2.8,15.6,5.8,2.5,86.8,5.5,1.99,10.945
197,Seychelles,94633.0,35.8,5.3,13.4,7.0,4.4,63.6,3.4,1.85,6.29
198,Isle of Man,89407.0,44.4,-8.6,10.9,10.2,0.0,0.0,0.0,1.92,0.0
199,Andorra,85708.0,44.9,-1.1,7.3,7.4,3.2,41.0,8.1,1.41,11.421
200,Marshall Islands,75684.0,23.1,2.5,23.8,4.2,0.0,25.5,17.1,2.98,50.958000000000006
201,Dominica,74027.0,34.0,-4.7,15.0,7.9,3.4,82.7,5.5,2.03,11.165
202,Bermuda,71176.0,43.5,-0.1,11.3,8.7,1.5,43.0,0.0,1.92,0.0
203,Guernsey,66697.0,44.0,0.4,9.8,9.0,0.0,0.0,0.0,1.57,0.0
204,Cayman Islands,59613.0,40.2,1.7,12.0,5.9,0.0,0.0,0.0,1.84,0.0
205,Greenland,57691.0,34.0,7.7,0.0,0.0,0.0,0.0,0.0,1.97,0.0
206,Turks and Caicos Islands,53701.0,33.8,11.2,14.9,3.3,3.3,0.0,0.0,1.7,0.0
207,Saint Kitts and Nevis,53094.0,35.5,2.1,13.0,7.2,2.8,62.9,5.1,1.77,9.027
208,Northern Mariana Islands,51994.0,33.4,28.6,14.9,4.9,0.0,7.1,0.0,2.76,0.0
209,Faroe Islands,51018.0,37.6,5.9,14.5,8.8,0.0,35.0,0.0,2.34,0.0
210,American Samoa,50826.0,26.1,-2.5,19.0,5.9,0.0,12.2,0.0,2.57,0.0
211,Sint Maarten,42677.0,41.2,3.6,13.1,5.4,0.0,0.0,0.0,2.04,0.0
212,Liechtenstein,38547.0,43.4,1.8,10.4,7.6,2.6,0.0,0.0,1.69,0.0
213,British Virgin Islands,35802.0,36.7,2.0,11.1,5.2,6.3,0.0,0.0,1.3,0.0
214,San Marino,33779.0,44.7,1.9,8.6,8.8,2.4,24.1,6.1,1.51,9.211
215,Saint Martin,32284.0,32.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,Monaco,30727.0,53.8,5.4,6.5,10.1,1.4,0.0,4.3,1.54,6.622
217,Gibraltar,29461.0,35.0,0.0,13.9,8.5,0.0,7.5,0.0,1.9,0.0
218,Palau,21516.0,33.6,-3.7,11.3,8.2,0.0,24.1,9.0,1.7,15.299999999999999
219,Anguilla,17422.0,35.1,-8.5,12.4,4.7,0.0,20.1,0.0,1.74,0.0
220,Wallis and Futuna,15763.0,32.8,0.0,13.0,5.5,0.0,5.6,0.0,1.72,0.0
221,Tuvalu,11147.0,26.0,3.2,23.7,8.4,0.0,37.0,16.5,2.93,48.345000000000006
222,Nauru,9692.0,26.7,4.0,23.2,5.9,0.0,62.0,3.3,2.76,9.107999999999999
223,Cook Islands,9038.0,37.2,0.1,13.7,8.6,4.7,0.0,3.4,2.16,7.344
224,"Saint Helena, Ascension, and Tristan da Cunha",7841.0,42.4,0.0,9.4,8.0,0.0,0.0,0.0,1.59,0.0
225,Saint Barthelemy,7160.0,44.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,Saint Pierre and Miquelon,5471.0,47.2,0.0,7.0,10.2,0.0,0.0,0.0,1.57,0.0
227,Montserrat,5315.0,33.8,7.4,10.5,6.2,5.1,0.0,0.0,1.34,0.0
228,Falkland Islands (Islas Malvinas),3198.0,0.0,25.5,10.9,4.9,0.0,0.0,0.0,0.0,0.0
229,Svalbard,2583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,Christmas Island,2205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,Norfolk Island,1748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,Niue,1618.0,0.0,6.2,0.0,0.0,0.0,0.0,7.4,0.0,0.0
233,Paracel Islands,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,Tokelau,1285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,Holy See (Vatican City),1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,Cocos (Keeling) Islands,596.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,Pitcairn Islands,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
